Anthony Gill	PF	6-8	230	31	WAS	50	3	Virginia	2016 NBA Draft, Undrafted	United States
Collin Gillespie	PG	6-1	195	24	DEN	24	1	Villanova	2022 NBA Draft, Undrafted	United States
Jacob Gilyard	PG	5-9	160	25	BRK, MEM	41	1	Richmond	2022 NBA Draft, Undrafted	United States
Rudy Gobert	C	7-1	258	31	MIN	76	10	Cholet Basket (France)	2013 Rnd 1 Pick 27	France
Jordan Goodwin	SG	6-4	200	25	MEM, PHX	57	2	Saint Louis	2021 NBA Draft, Undrafted	United States
Aaron Gordon	F	6-8	235	28	DEN	73	9	Arizona	2014 Rnd 1 Pick 4	United States
Eric Gordon	G	6-3	215	35	PHX	68	15	Indiana	2008 Rnd 1 Pick 7	United States
Devonte' Graham	PG	6-1	195	29	SAS	23	5	Kansas	2018 Rnd 2 Pick 4	United States
Jerami Grant	F	6-7	210	29	POR	54	9	Syracuse	2014 Rnd 2 Pick 9	United States
RaiQuan Gray	PF	6-7	269	24	SAS	3	1	Florida State	2021 Rnd 2 Pick 29	United States
A.J. Green	PG	6-4	190	24	MIL	56	1	Northern Iowa	2022 NBA Draft, Undrafted	United States
Danny Green	SF	6-6	215	36	PHI	2	14	North Carolina	2009 Rnd 2 Pick 16	United States
Draymond Green	F	6-6	230	33	GSW	55	11	Michigan State	2012 Rnd 2 Pick 5	United States
Jalen Green	SG	6-4	186	22	HOU	82	2	NBA G League Ignite	2021 Rnd 1 Pick 2	United States
Javonte Green	G	6-5	205	30	CHI	9	4	Radford	2015 NBA Draft, Undrafted	United States
Jeff Green	F	6-8	235	37	HOU	78	15	Georgetown	2007 Rnd 1 Pick 5	United States
Josh Green	SG	6-5	200	23	DAL	57	3	Arizona	2020 Rnd 1 Pick 18	United States
AJ Griffin	SG	6-6	222	20	ATL	20	1	Duke	2022 Rnd 1 Pick 16	United States
Quentin Grimes	SG	6-5	210	23	DET, NYK	51	2	Houston	2021 Rnd 1 Pick 25	United States
Mouhamadou Gueye	F	6-9	210	25	TOR	11	0	Pittsburgh	2022 NBA Draft, Undrafted	United States
